tech_test,savedsearch,index,source,sourcetype,custom
M365,ssphp_use_case_m365_002_cis_2-8,ssphp_metrics_data,,m365:get_management_role_assignment,
M365,ssphp_use_case_m365_001_cis_2-10,ssphp_metrics_data,/beta/admin/forms,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_003_cis_3-1,ssphp_metrics_data,,m365:control_score,controlName=~CustomerLockboxEnabled~
M365,ssphp_use_case_m365_003_cis_3-3,ssphp_metrics_data,,m365:get_cs_teams_tenant_federation_configuration,
M365,ssphp_use_case_m365_003_cis_3-4,ssphp_metrics_data,,m365:dlp_compliance_policy,
M365,ssphp_use_case_m365_003_cis_3-5,ssphp_metrics_data,,m365:dlp_compliance_policy,
M365,ssphp_use_case_m365_003_cis_3-7,ssphp_metrics_data,,m365:get_cs_teams_client_configuration,
M365,ssphp_use_case_m365_003_cis_4-1,ssphp_metrics_data,,m365:malware_filter_policy,
M365,ssphp_use_case_m365_003_cis_4-2,ssphp_metrics_data,,m365:hosted_outbound_spam_filter_policy,
M365,ssphp_use_case_m365_003_cis_4-3,ssphp_metrics_data,,m365:transport_rule,
M365,ssphp_use_case_m365_003_cis_4-4,ssphp_metrics_data,,m365:transport_rule,
M365,ssphp_use_case_m365_003_cis_4-5,ssphp_metrics_data,,m365:safe_attachment_policy,
M365,ssphp_use_case_m365_003_cis_4-6,ssphp_metrics_data,,m365:anti_phish_policy,
M365,ssphp_use_case_m365_003_cis_4-7,ssphp_metrics_data,,m365:dkim_signing_config,
M365,ssphp_use_case_m365_003_cis_4-8,ssphp_metrics_data,/v1.0/domains,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_003_cis_4-9,ssphp_metrics_data,/v1.0/domains,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_003_cis_4-10,ssphp_metrics_data,,m365:malware_filter_policy,
M365,ssphp_use_case_m365_003_cis_4-11,ssphp_metrics_data,,m365:organization_config,
M365,ssphp_use_case_m365_003_cis_4-12,ssphp_metrics_data,,m365:email_tenant_settings,
M365,ssphp_use_case_m365_003_cis_4-12,ssphp_metrics_data,,m365:protection_alert,
M365,ssphp_use_case_m365_003_cis_4-12,ssphp_metrics_data,,m365:user_vip,
M365,ssphp_use_case_m365_003_cis_4-13,ssphp_metrics_data,,m365:eop_protection_policy_rule,
M365,ssphp_use_case_m365_003_cis_4-13,ssphp_metrics_data,,m365:anti_phish_policy,
M365,ssphp_use_case_m365_003_cis_4-13,ssphp_metrics_data,,m365:hosted_content_filter_policy,
M365,ssphp_use_case_m365_003_cis_4-13,ssphp_metrics_data,,m365:malware_filter_policy,
M365,ssphp_use_case_m365_003_cis_4-13,ssphp_metrics_data,,m365:safe_attachment_policy,
M365,ssphp_use_case_m365_003_cis_4-13,ssphp_metrics_data,,m365:safe_links_policy,
M365,ssphp_use_case_m365_005_cis_5-1-1,ssphp_metrics_data,/v1.0/identityGovernance/accessReviews/definitions,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_005_cis_5-1-2,ssphp_metrics_data,/v1.0/identityGovernance/accessReviews/definitions,ssphp:ms_graph:json,
M365,ssphp_use_case_m365_005_cis_5-2,ssphp_metrics_data,,m365:admin_audit_log_config,
M365,ssphp_use_case_m365_005_cis_5-3,ssphp_metrics_data,,m365:organization_config,
M365,ssphp_use_case_m365_006_cis_6-1,ssphp_metrics_data,,m365:control_score,controlName=~spo_external_sharing_managed~
M365,ssphp_use_case_m365_006_cis_6-2,ssphp_metrics_data,,m365:control_score,controlName=~spo_block_onedrive_sync_unmanaged_devices~
M365,ssphp_use_case_m365_006_cis_6-4,ssphp_metrics_data,,m365:owa_mailbox_policy,
M365,ssphp_use_case_m365_006_cis_6-5,ssphp_metrics_data,,m365:owa_mailbox_policy,
AAD,ssphp_use_case_aad_dfe_1-0,ssphp_metrics_data,,SSPHP.AAD.user,
AAD,ssphp_use_case_aad_dfe_2-0,ssphp_metrics_data,,SSPHP.AAD.user,
AAD,ssphp_use_case_aad_dfe_3-0,ssphp_metrics_data,,SSPHP.AAD.user,
AAD,ssphp_use_case_aad_dfe_4-0,ssphp_metrics_data,,SSPHP.AAD.user,
AAD,ssphp_use_case_aad_dfe_5-0,ssphp_metrics_data,,SSPHP.AAD.user,
